  <Transcript StartTime="0.0" EndTime="3915.955">
    <Segment StartTime="5.750" EndTime="6.660" Participant="me003">
    <Segment StartTime="6.323" EndTime="7.124" Participant="me011">
    <Segment StartTime="10.303" EndTime="12.448" Participant="me011">
    <Segment StartTime="12.448" EndTime="13.895" Participant="me011">
    <Segment StartTime="12.602" EndTime="14.920" Participant="me003">
    <Segment StartTime="14.655" EndTime="16.180" Participant="me011">
    <Segment StartTime="14.734" EndTime="15.900" Participant="me010">
    <Segment StartTime="14.905" EndTime="15.716" CloseMic="false">
    <Segment StartTime="16.061" EndTime="17.450" Participant="me003">
    <Segment StartTime="18.219" EndTime="23.139" Participant="me011">
    <Segment StartTime="23.825" EndTime="25.291" Participant="mn015">
    <Segment StartTime="25.291" EndTime="28.575" Participant="mn015">
    <Segment StartTime="26.237" EndTime="26.693" Participant="me011">
    <Segment StartTime="26.310" EndTime="27.481" Participant="me003">
    <Segment StartTime="27.481" EndTime="30.350" Participant="me003">
    <Segment StartTime="31.239" EndTime="35.574" Participant="me011">
    <Segment StartTime="35.263" EndTime="37.450" Participant="me003">
    <Segment StartTime="37.241" EndTime="37.586" Participant="me011">
    <Segment StartTime="37.800" EndTime="38.534" Participant="me003">
    <Segment StartTime="38.142" EndTime="43.610" Participant="me011">
    <Segment StartTime="43.423" EndTime="44.579" Participant="me003">
    <Segment StartTime="45.288" EndTime="47.033" Participant="me011">
    <Segment StartTime="46.127" EndTime="48.420" Participant="me003">
    <Segment StartTime="48.100" EndTime="53.172" Participant="me011">
    <Segment StartTime="50.160" EndTime="51.180" Participant="me010">
    <Segment StartTime="52.844" EndTime="53.262" Participant="me010">
    <Segment StartTime="53.262" EndTime="54.594" Participant="me010">
    <Segment StartTime="54.594" EndTime="57.160" Participant="me010">
    <Segment StartTime="57.074" EndTime="58.248" Participant="mn015">
    <Segment StartTime="58.030" EndTime="58.800" Participant="me010">
    <Segment StartTime="58.863" EndTime="59.329" Participant="me011">
    <Segment StartTime="59.329" EndTime="62.441" Participant="me011">
    <Segment StartTime="59.720" EndTime="60.557" Participant="me010">
    <Segment StartTime="62.441" EndTime="67.269" Participant="me011">
    <Segment StartTime="67.269" EndTime="68.625" Participant="me011">
    <Segment StartTime="68.625" EndTime="72.026" Participant="me011">
    <Segment StartTime="72.404" EndTime="79.462" Participant="me011">
    <Segment StartTime="81.140" EndTime="83.783" Participant="me011">
    <Segment StartTime="88.010" EndTime="90.460" Participant="me011">
    <Segment StartTime="90.460" EndTime="92.148" Participant="me011">
    <Segment StartTime="93.030" EndTime="95.420" Participant="me010">
    <Segment StartTime="95.046" EndTime="95.635" Participant="me011">
    <Segment StartTime="95.969" EndTime="98.492" Participant="me011">
    <Segment StartTime="98.892" EndTime="102.235" Participant="me011" DigitTask="true">
    <Segment StartTime="102.229" EndTime="327.264" CloseMic="false">
    <Segment StartTime="102.695" EndTime="103.257" Participant="me011" DigitTask="true">
    <Segment StartTime="103.628" EndTime="105.037" Participant="me011" DigitTask="true">
    <Segment StartTime="105.298" EndTime="107.423" Participant="me011" DigitTask="true">
    <Segment StartTime="107.804" EndTime="108.865" Participant="me011" DigitTask="true">
    <Segment StartTime="109.288" EndTime="110.775" Participant="me011" DigitTask="true">
    <Segment StartTime="110.775" EndTime="112.813" Participant="me011" DigitTask="true">
    <Segment StartTime="113.041" EndTime="113.794" Participant="me011" DigitTask="true">
    <Segment StartTime="113.794" EndTime="115.055" Participant="me011" DigitTask="true">
    <Segment StartTime="115.055" EndTime="116.211" Participant="me011" DigitTask="true">
    <Segment StartTime="116.211" EndTime="117.251" Participant="me011" DigitTask="true">
    <Segment StartTime="117.251" EndTime="118.601" Participant="me011" DigitTask="true">
    <Segment StartTime="118.601" EndTime="121.548" Participant="me011" DigitTask="true">
    <Segment StartTime="122.453" EndTime="124.702" Participant="me011" DigitTask="true">
    <Segment StartTime="124.702" EndTime="125.510" Participant="me011" DigitTask="true">
    <Segment StartTime="125.510" EndTime="126.137" Participant="me011" DigitTask="true">
    <Segment StartTime="126.380" EndTime="127.799" Participant="me011" DigitTask="true">
    <Segment StartTime="128.053" EndTime="129.163" Participant="me011" DigitTask="true">
    <Segment StartTime="129.359" EndTime="131.804" Participant="me011" DigitTask="true">
    <Segment StartTime="132.250" EndTime="134.070" Participant="me011" DigitTask="true">
    <Segment StartTime="134.591" EndTime="135.555" Participant="me011" DigitTask="true">
    <Segment StartTime="135.555" EndTime="136.024" Participant="me011" DigitTask="true">
    <Segment StartTime="135.870" EndTime="143.804" Participant="mn015">
    <Segment StartTime="141.315" EndTime="143.510" Participant="me010">
    <Segment StartTime="146.207" EndTime="152.012" Participant="mn015" DigitTask="true">
    <Segment StartTime="152.826" EndTime="154.430" Participant="mn015" DigitTask="true">
    <Segment StartTime="154.630" EndTime="156.996" Participant="mn015" DigitTask="true">
    <Segment StartTime="157.409" EndTime="159.010" Participant="mn015" DigitTask="true">
    <Segment StartTime="159.300" EndTime="161.820" Participant="mn015" DigitTask="true">
    <Segment StartTime="162.170" EndTime="163.010" Participant="mn015" DigitTask="true">
    <Segment StartTime="163.460" EndTime="164.260" Participant="mn015" DigitTask="true">
    <Segment StartTime="164.290" EndTime="166.530" Participant="mn015" DigitTask="true">
    <Segment StartTime="166.900" EndTime="170.050" Participant="mn015" DigitTask="true">
    <Segment StartTime="170.710" EndTime="172.460" Participant="mn015" DigitTask="true">
