  <Transcript StartTime="0.0" EndTime="3544.622">
    <Segment StartTime="0.010" EndTime="1.305" Participant="mn015">
    <Segment StartTime="4.549" EndTime="5.927" Participant="fe004">
    <Segment StartTime="5.927" EndTime="7.615" Participant="fe004">
    <Segment StartTime="21.903" EndTime="23.267" Participant="fe004">
    <Segment StartTime="23.900" EndTime="24.237" Participant="fe004">
    <Segment StartTime="25.227" EndTime="25.603" Participant="fn050">
    <Segment StartTime="26.813" EndTime="27.841" Participant="fn050">
    <Segment StartTime="28.370" EndTime="29.915" Participant="fe004">
    <Segment StartTime="30.670" EndTime="31.920" Participant="fn050">
    <Segment StartTime="35.002" EndTime="35.318" Participant="fn050">
    <Segment StartTime="35.256" EndTime="36.304" Participant="fe004">
    <Segment StartTime="35.931" EndTime="38.067" Participant="fn050">
    <Segment StartTime="39.280" EndTime="42.141" Participant="fn050">
    <Segment StartTime="41.350" EndTime="43.774" Participant="fe004">
    <Segment StartTime="42.141" EndTime="42.770" Participant="fn050">
    <Segment StartTime="42.326" EndTime="43.928" Participant="mn015">
    <Segment StartTime="42.354" EndTime="44.479" Participant="me003">
    <Segment StartTime="44.345" EndTime="45.200" Participant="fn050">
    <Segment StartTime="44.479" EndTime="45.914" Participant="me003">
    <Segment StartTime="45.200" EndTime="46.086" Participant="fn050">
    <Segment StartTime="46.666" EndTime="47.714" Participant="me003">
    <Segment StartTime="48.120" EndTime="48.863" Participant="fn050">
    <Segment StartTime="48.700" EndTime="50.648" Participant="me003">
    <Segment StartTime="51.220" EndTime="52.692" Participant="me003">
    <Segment StartTime="52.880" EndTime="53.768" Participant="fn050">
    <Segment StartTime="53.585" EndTime="54.198" Participant="fe004">
    <Segment StartTime="54.580" EndTime="56.527" Participant="me003">
    <Segment StartTime="56.200" EndTime="59.841" Participant="fn050">
    <Segment StartTime="60.340" EndTime="60.569" Participant="me003">
    <Segment StartTime="60.569" EndTime="61.258" Participant="me003">
    <Segment StartTime="61.970" EndTime="64.343" Participant="me003">
    <Segment StartTime="66.177" EndTime="82.709" Participant="me010">
    <Segment StartTime="67.114" EndTime="68.255" Participant="me003">
    <Segment StartTime="68.255" EndTime="71.822" Participant="me003">
    <Segment StartTime="72.900" EndTime="74.008" Participant="fe004">
    <Segment StartTime="74.330" EndTime="74.729" Participant="me003">
    <Segment StartTime="74.332" EndTime="74.847" Participant="mn015">
    <Segment StartTime="75.330" EndTime="76.045" Participant="fe004">
    <Segment StartTime="76.820" EndTime="77.529" Participant="fe004">
    <Segment StartTime="77.723" EndTime="78.554" Participant="mn015">
    <Segment StartTime="78.049" EndTime="79.790" Participant="me003">
    <Segment StartTime="78.696" EndTime="79.566" Participant="fe004">
    <Segment StartTime="80.430" EndTime="81.208" Participant="fe004">
    <Segment StartTime="81.410" EndTime="82.662" Participant="me003">
    <Segment StartTime="82.454" EndTime="83.265" Participant="fe004">
    <Segment StartTime="82.662" EndTime="84.863" Participant="me003">
    <Segment StartTime="84.327" EndTime="85.045" Participant="fe004">
    <Segment StartTime="85.045" EndTime="87.422" Participant="fe004">
    <Segment StartTime="86.347" EndTime="87.435" Participant="me003">
    <Segment StartTime="87.422" EndTime="88.204" Participant="fe004">
    <Segment StartTime="88.333" EndTime="90.825" Participant="me003">
    <Segment StartTime="89.120" EndTime="90.091" Participant="me010">
    <Segment StartTime="90.018" EndTime="90.595" CloseMic="false">
    <Segment StartTime="90.091" EndTime="91.790" Participant="me010">
    <Segment StartTime="90.690" EndTime="91.262" Participant="fe004">
    <Segment StartTime="91.790" EndTime="94.010" Participant="me010">
    <Segment StartTime="92.162" EndTime="92.871" Participant="fe004">
    <Segment StartTime="93.450" EndTime="100.912" Participant="fe004">
    <Segment StartTime="94.610" EndTime="95.985" Participant="me003">
    <Segment StartTime="96.630" EndTime="100.510" Participant="me010">
    <Segment StartTime="97.370" EndTime="99.071" Participant="me003">
    <Segment StartTime="99.800" EndTime="101.563" Participant="me003">
    <Segment StartTime="102.960" EndTime="107.515" Participant="me003">
    <Segment StartTime="105.454" EndTime="105.896" Participant="me010">
    <Segment StartTime="105.896" EndTime="106.265" Participant="me010">
    <Segment StartTime="106.131" EndTime="107.476" Participant="fe004">
    <Segment StartTime="107.840" EndTime="108.642" Participant="fe004">
    <Segment StartTime="108.050" EndTime="109.257" Participant="me010">
    <Segment StartTime="108.180" EndTime="108.611" Participant="mn015">
    <Segment StartTime="108.580" EndTime="109.187" Participant="me003">
    <Segment StartTime="109.257" EndTime="112.420" Participant="me010">
    <Segment StartTime="112.618" EndTime="114.141" Participant="me003">
    <Segment StartTime="113.887" EndTime="114.436" Participant="me010">
    <Segment StartTime="113.940" EndTime="120.993" Participant="mn015">
    <Segment StartTime="114.540" EndTime="114.892" Participant="fe004">
    <Segment StartTime="119.798" EndTime="120.055" Participant="me003">
    <Segment StartTime="120.884" EndTime="121.339" Participant="me010">
    <Segment StartTime="121.183" EndTime="122.033" Participant="me003">
    <Segment StartTime="122.710" EndTime="124.128" Participant="me010">
    <Segment StartTime="122.936" EndTime="123.569" Participant="fe004">
    <Segment StartTime="125.220" EndTime="128.610" Participant="me010">
    <Segment StartTime="128.390" EndTime="129.184" Participant="fe004">
    <Segment StartTime="129.836" EndTime="131.478" Participant="fe004">
    <Segment StartTime="130.069" EndTime="132.880" Participant="me010">
    <Segment StartTime="133.140" EndTime="133.832" Participant="fe004">
    <Segment StartTime="133.711" EndTime="134.643" Participant="me010">
    <Segment StartTime="135.473" EndTime="135.967" Participant="mn015">
    <Segment StartTime="138.440" EndTime="140.626" Participant="fe004">
    <Segment StartTime="140.626" EndTime="141.674" Participant="fe004">
    <Segment StartTime="141.760" EndTime="142.881" Participant="mn015">
    <Segment StartTime="144.998" EndTime="145.421" Participant="mn015">
    <Segment StartTime="145.421" EndTime="147.422" Participant="mn015">
    <Segment StartTime="147.738" EndTime="149.962" Participant="mn015">
    <Segment StartTime="150.480" EndTime="157.636" Participant="mn015">
    <Segment StartTime="156.850" EndTime="157.341" Participant="fn050">
    <Segment StartTime="158.408" EndTime="162.462" Participant="mn015">
    <Segment StartTime="160.180" EndTime="160.526" Participant="fn050">
    <Segment StartTime="162.524" EndTime="163.176" Participant="fn050">
    <Segment StartTime="163.060" EndTime="164.487" Participant="mn015">
    <Segment StartTime="165.210" EndTime="166.044" Participant="fn050">
    <Segment StartTime="165.298" EndTime="166.544" Participant="mn015">
    <Segment StartTime="166.860" EndTime="174.390" Participant="mn015">
    <Segment StartTime="174.830" EndTime="175.247" Participant="mn015">
    <Segment StartTime="175.890" EndTime="183.351" Participant="mn015">
    <Segment StartTime="184.420" EndTime="187.730" Participant="mn015">
    <Segment StartTime="186.410" EndTime="186.687" Participant="fe004">
    <Segment StartTime="187.344" EndTime="187.977" Participant="me003">
    <Segment StartTime="187.770" EndTime="192.283" Participant="fn050">
    <Segment StartTime="192.300" EndTime="192.680" Participant="me003">
    <Segment StartTime="192.780" EndTime="193.281" Participant="me010">
    <Segment StartTime="192.813" EndTime="193.249" Participant="mn015">
    <Segment StartTime="193.100" EndTime="194.103" Participant="fn050">
    <Segment StartTime="194.540" EndTime="196.833" Participant="fn050">
    <Segment StartTime="197.720" EndTime="198.059" Participant="fn050">
    <Segment StartTime="197.920" EndTime="199.711" Participant="me003">
    <Segment StartTime="199.860" EndTime="200.254" Participant="fn050">
    <Segment StartTime="201.050" EndTime="202.960" Participant="fn050">
    <Segment StartTime="203.820" EndTime="205.610" Participant="fn050">
    <Segment StartTime="204.893" EndTime="206.693" Participant="me003">
    <Segment StartTime="205.984" EndTime="206.261" Participant="fe004">
    <Segment StartTime="206.639" EndTime="207.747" Participant="fn050">
    <Segment StartTime="207.060" EndTime="209.890" Participant="me010">
    <Segment StartTime="209.310" EndTime="210.273" Participant="me003">
    <Segment StartTime="210.190" EndTime="212.622" Participant="me010">
    <Segment StartTime="211.630" EndTime="211.900" Participant="fn050">
    <Segment StartTime="215.755" EndTime="216.348" Participant="fe004">
    <Segment StartTime="216.004" EndTime="225.982" Participant="mn015">
    <Segment StartTime="227.250" EndTime="229.307" Participant="mn015">
    <Segment StartTime="234.954" EndTime="237.803" Participant="mn015">
    <Segment StartTime="238.060" EndTime="240.312" Participant="me003">
    <Segment StartTime="238.508" EndTime="238.864" Participant="fe004">
    <Segment StartTime="241.490" EndTime="245.202" Participant="me003">
    <Segment StartTime="245.855" EndTime="251.888" Participant="me003">
