  <Transcript StartTime="0.0" EndTime="4262.598">
    <Segment StartTime="1.277" EndTime="2.152" Participant="me013">
    <Segment StartTime="2.966" EndTime="5.068" Participant="me013">
    <Segment StartTime="7.571" EndTime="15.830" Participant="me011">
    <Segment StartTime="16.397" EndTime="18.178" Participant="me011">
    <Segment StartTime="18.178" EndTime="18.536" Participant="me011">
    <Segment StartTime="18.353" EndTime="24.825" Participant="fe008">
    <Segment StartTime="22.294" EndTime="24.066" Participant="me018">
    <Segment StartTime="24.825" EndTime="27.041" Participant="fe008">
    <Segment StartTime="25.952" EndTime="26.857" Participant="me011">
    <Segment StartTime="27.041" EndTime="29.753" Participant="fe008">
    <Segment StartTime="28.436" EndTime="31.120" Participant="me011">
    <Segment StartTime="31.291" EndTime="31.738" Participant="fe008">
    <Segment StartTime="31.835" EndTime="32.488" Participant="fe016">
    <Segment StartTime="32.473" EndTime="34.922" Participant="me011">
    <Segment StartTime="36.626" EndTime="38.001" Participant="me011">
    <Segment StartTime="38.001" EndTime="39.846" Participant="me011">
    <Segment StartTime="40.118" EndTime="44.060" Participant="me011" DigitTask="true">
    <Segment StartTime="44.603" EndTime="44.746" Participant="me011">
    <Segment StartTime="44.746" EndTime="46.470" Participant="me011" DigitTask="true">
    <Segment StartTime="45.752" EndTime="46.279" Participant="mn005">
    <Segment StartTime="46.817" EndTime="47.446" Participant="me011" DigitTask="true">
    <Segment StartTime="47.446" EndTime="49.403" Participant="me011" DigitTask="true">
    <Segment StartTime="49.403" EndTime="50.568" Participant="me011" DigitTask="true">
    <Segment StartTime="50.568" EndTime="52.133" Participant="me011" DigitTask="true">
    <Segment StartTime="52.507" EndTime="55.163" Participant="me011" DigitTask="true">
    <Segment StartTime="55.367" EndTime="56.031" Participant="me011" DigitTask="true">
    <Segment StartTime="56.421" EndTime="58.337" Participant="me011" DigitTask="true">
    <Segment StartTime="58.594" EndTime="59.371" Participant="me011" DigitTask="true">
    <Segment StartTime="59.371" EndTime="60.153" Participant="me011" DigitTask="true">
    <Segment StartTime="60.153" EndTime="61.145" Participant="me011" DigitTask="true">
    <Segment StartTime="61.145" EndTime="62.029" Participant="me011" DigitTask="true">
    <Segment StartTime="62.563" EndTime="64.056" Participant="me011" DigitTask="true">
    <Segment StartTime="64.489" EndTime="65.295" Participant="me011" DigitTask="true">
    <Segment StartTime="65.295" EndTime="66.325" Participant="me011" DigitTask="true">
    <Segment StartTime="66.325" EndTime="67.281" Participant="me011" DigitTask="true">
    <Segment StartTime="67.281" EndTime="67.924" Participant="me011" DigitTask="true">
    <Segment StartTime="67.924" EndTime="68.570" Participant="me011" DigitTask="true">
    <Segment StartTime="68.570" EndTime="70.195" Participant="me011" DigitTask="true">
    <Segment StartTime="70.195" EndTime="71.290" Participant="me011" DigitTask="true">
    <Segment StartTime="72.355" EndTime="76.525" Participant="me011">
    <Segment StartTime="77.680" EndTime="79.745" Participant="me013">
    <Segment StartTime="78.686" EndTime="82.330" Participant="me001" DigitTask="true">
    <Segment StartTime="83.044" EndTime="84.738" Participant="me001" DigitTask="true">
    <Segment StartTime="84.738" EndTime="86.794" Participant="me001" DigitTask="true">
    <Segment StartTime="87.184" EndTime="88.852" Participant="me001" DigitTask="true">
    <Segment StartTime="88.852" EndTime="90.088" Participant="me001" DigitTask="true">
    <Segment StartTime="90.645" EndTime="93.196" Participant="me001" DigitTask="true">
    <Segment StartTime="93.616" EndTime="94.237" Participant="me001" DigitTask="true">
    <Segment StartTime="94.726" EndTime="95.422" Participant="me001" DigitTask="true">
    <Segment StartTime="95.857" EndTime="98.703" Participant="me001" DigitTask="true">
    <Segment StartTime="99.486" EndTime="101.085" Participant="me001" DigitTask="true">
    <Segment StartTime="101.212" EndTime="103.239" Participant="me001" DigitTask="true">
    <Segment StartTime="103.802" EndTime="105.578" Participant="me001" DigitTask="true">
    <Segment StartTime="105.929" EndTime="107.377" Participant="me001" DigitTask="true">
    <Segment StartTime="107.886" EndTime="111.288" Participant="me001" DigitTask="true">
    <Segment StartTime="111.578" EndTime="112.124" Participant="me001" DigitTask="true">
    <Segment StartTime="112.615" EndTime="114.018" Participant="me001" DigitTask="true">
    <Segment StartTime="114.018" EndTime="115.478" Participant="me001" DigitTask="true">
    <Segment StartTime="116.029" EndTime="117.973" Participant="me001" DigitTask="true">
    <Segment StartTime="118.362" EndTime="120.759" Participant="me001" DigitTask="true">
    <Segment StartTime="120.759" EndTime="121.785" Participant="me001" DigitTask="true">
    <Segment StartTime="121.785" EndTime="122.301" Participant="me001" DigitTask="true">
    <Segment StartTime="123.840" EndTime="127.760" Participant="me013" DigitTask="true">
    <Segment StartTime="128.137" EndTime="129.165" Participant="me013" DigitTask="true">
    <Segment StartTime="129.165" EndTime="129.998" Participant="me013" DigitTask="true">
    <Segment StartTime="130.376" EndTime="131.515" Participant="me013" DigitTask="true">
    <Segment StartTime="131.866" EndTime="134.245" Participant="me013" DigitTask="true">
    <Segment StartTime="134.777" EndTime="136.740" Participant="me013" DigitTask="true">
    <Segment StartTime="137.076" EndTime="140.082" Participant="me013" DigitTask="true">
    <Segment StartTime="140.033" EndTime="140.913" CloseMic="false">
    <Segment StartTime="140.421" EndTime="141.234" Participant="me013" DigitTask="true">
    <Segment StartTime="141.699" EndTime="142.583" Participant="me013" DigitTask="true">
    <Segment StartTime="142.706" EndTime="143.335" Participant="me013" DigitTask="true">
    <Segment StartTime="144.079" EndTime="145.563" Participant="me013" DigitTask="true">
    <Segment StartTime="145.504" EndTime="146.148" Participant="mn005">
    <Segment StartTime="146.452" EndTime="147.782" Participant="me013" DigitTask="true">
    <Segment StartTime="148.054" EndTime="149.198" Participant="me013" DigitTask="true">
    <Segment StartTime="149.691" EndTime="150.669" Participant="me013" DigitTask="true">
    <Segment StartTime="150.951" EndTime="151.640" Participant="me013" DigitTask="true">
    <Segment StartTime="152.010" EndTime="153.147" Participant="me013" DigitTask="true">
    <Segment StartTime="153.488" EndTime="154.856" Participant="me013" DigitTask="true">
    <Segment StartTime="155.081" EndTime="156.295" Participant="me013" DigitTask="true">
    <Segment StartTime="156.662" EndTime="158.204" Participant="me013" DigitTask="true">
    <Segment StartTime="158.544" EndTime="160.628" Participant="me013" DigitTask="true">
    <Segment StartTime="161.053" EndTime="162.214" Participant="me013" DigitTask="true">
    <Segment StartTime="161.510" EndTime="162.430" Participant="me001">
    <Segment StartTime="164.762" EndTime="167.152" Participant="mn017" DigitTask="true">
    <Segment StartTime="167.885" EndTime="168.697" Participant="mn017" DigitTask="true">
    <Segment StartTime="168.697" EndTime="169.667" Participant="mn017" DigitTask="true">
    <Segment StartTime="170.065" EndTime="171.898" Participant="mn017" DigitTask="true">
    <Segment StartTime="172.456" EndTime="175.085" Participant="mn017" DigitTask="true">
    <Segment StartTime="175.602" EndTime="176.947" Participant="mn017" DigitTask="true">
    <Segment StartTime="176.947" EndTime="178.309" Participant="mn017" DigitTask="true">
    <Segment StartTime="178.663" EndTime="179.330" Participant="mn017" DigitTask="true">
    <Segment StartTime="179.630" EndTime="180.590" Participant="mn017" DigitTask="true">
    <Segment StartTime="181.026" EndTime="182.580" Participant="mn017" DigitTask="true">
    <Segment StartTime="182.874" EndTime="183.513" Participant="mn017" DigitTask="true">
    <Segment StartTime="184.091" EndTime="186.132" Participant="mn017" DigitTask="true">
    <Segment StartTime="186.781" EndTime="189.091" Participant="mn017" DigitTask="true">
    <Segment StartTime="189.091" EndTime="190.688" Participant="mn017" DigitTask="true">
    <Segment StartTime="191.008" EndTime="193.969" Participant="mn017" DigitTask="true">
    <Segment StartTime="194.621" EndTime="196.329" Participant="mn017" DigitTask="true">
    <Segment StartTime="196.726" EndTime="197.561" Participant="mn017" DigitTask="true">
    <Segment StartTime="197.561" EndTime="198.172" Participant="mn017" DigitTask="true">
    <Segment StartTime="198.461" EndTime="199.459" Participant="mn017" DigitTask="true">
    <Segment StartTime="199.952" EndTime="202.382" Participant="mn017" DigitTask="true">
    <Segment StartTime="202.834" EndTime="203.691" Participant="mn017" DigitTask="true">
    <Segment StartTime="205.452" EndTime="206.241" Participant="me018">
    <Segment StartTime="205.470" EndTime="207.695" Participant="mn005">
    <Segment StartTime="206.241" EndTime="208.184" Participant="me018">
    <Segment StartTime="208.184" EndTime="212.141" Participant="me018" DigitTask="true">
    <Segment StartTime="212.141" EndTime="213.207" Participant="me018" DigitTask="true">
