  <Transcript StartTime="0.0" EndTime="3935.573">
    <Segment StartTime="0.000" EndTime="0.270" Participant="me018">
    <Segment StartTime="1.280" EndTime="6.308" Participant="me011">
    <Segment StartTime="3.989" EndTime="4.544" Participant="me013">
    <Segment StartTime="5.240" EndTime="5.648" Participant="me013">
    <Segment StartTime="5.952" EndTime="6.723" Participant="fe008">
    <Segment StartTime="7.229" EndTime="7.745" Participant="fe008">
    <Segment StartTime="7.269" EndTime="8.433" Participant="me013">
    <Segment StartTime="8.680" EndTime="9.239" Participant="me013">
    <Segment StartTime="10.806" EndTime="11.429" Participant="me013">
    <Segment StartTime="13.338" EndTime="16.450" Participant="me013">
    <Segment StartTime="13.659" EndTime="15.780" Participant="me011">
    <Segment StartTime="16.160" EndTime="19.525" Participant="me011">
    <Segment StartTime="19.723" EndTime="21.940" Participant="me011">
    <Segment StartTime="19.790" EndTime="21.390" Participant="me013">
    <Segment StartTime="20.922" EndTime="22.481" Participant="fe008">
    <Segment StartTime="22.146" EndTime="26.420" Participant="me011">
    <Segment StartTime="26.638" EndTime="28.590" Participant="me011">
    <Segment StartTime="27.450" EndTime="29.040" Participant="me013">
    <Segment StartTime="28.720" EndTime="30.400" Participant="me011">
    <Segment StartTime="29.610" EndTime="31.510" Participant="me018">
    <Segment StartTime="29.650" EndTime="31.777" Participant="mn014">
    <Segment StartTime="30.400" EndTime="32.040" Participant="fe008">
    <Segment StartTime="30.770" EndTime="34.104" Participant="me011">
    <Segment StartTime="31.301" EndTime="32.136" Participant="me013">
    <Segment StartTime="34.940" EndTime="40.794" Participant="me011">
    <Segment StartTime="40.794" EndTime="44.560" Participant="me011">
    <Segment StartTime="44.801" EndTime="48.856" Participant="me011">
    <Segment StartTime="49.118" EndTime="53.021" Participant="me011">
    <Segment StartTime="53.810" EndTime="59.700" Participant="me011">
    <Segment StartTime="59.875" EndTime="61.579" Participant="me011">
    <Segment StartTime="61.890" EndTime="66.704" Participant="me011">
    <Segment StartTime="67.100" EndTime="73.318" Participant="me011">
    <Segment StartTime="73.920" EndTime="78.177" Participant="me011">
    <Segment StartTime="78.810" EndTime="80.020" Participant="me011">
    <Segment StartTime="82.420" EndTime="85.710" Participant="me013">
    <Segment StartTime="82.580" EndTime="84.020" Participant="me011">
    <Segment StartTime="85.460" EndTime="86.120" Participant="me011">
    <Segment StartTime="86.360" EndTime="87.040" Participant="me011">
    <Segment StartTime="87.350" EndTime="88.667" Participant="me013">
    <Segment StartTime="88.667" EndTime="93.969" Participant="me013">
    <Segment StartTime="93.260" EndTime="94.430" Participant="me011">
    <Segment StartTime="93.969" EndTime="94.487" Participant="me013">
    <Segment StartTime="94.770" EndTime="99.841" Participant="me011">
    <Segment StartTime="100.081" EndTime="107.180" Participant="me011">
    <Segment StartTime="101.926" EndTime="102.916" Participant="fe008">
    <Segment StartTime="107.046" EndTime="110.330" Participant="me013">
    <Segment StartTime="109.330" EndTime="112.440" Participant="me011">
    <Segment StartTime="112.440" EndTime="113.660" Participant="me013">
    <Segment StartTime="113.840" EndTime="116.480" Participant="me011">
    <Segment StartTime="114.730" EndTime="117.980" Participant="me013">
    <Segment StartTime="117.651" EndTime="120.469" Participant="me011">
    <Segment StartTime="120.788" EndTime="124.830" Participant="me011">
    <Segment StartTime="125.340" EndTime="126.030" Participant="me013">
    <Segment StartTime="125.370" EndTime="129.557" Participant="me011">
    <Segment StartTime="129.948" EndTime="132.380" Participant="me011">
    <Segment StartTime="133.380" EndTime="136.862" Participant="me011">
    <Segment StartTime="138.680" EndTime="146.445" Participant="me011">
    <Segment StartTime="140.178" EndTime="141.010" Participant="me018">
    <Segment StartTime="144.409" EndTime="145.284" Participant="fe008">
    <Segment StartTime="146.568" EndTime="150.895" Participant="me011">
    <Segment StartTime="151.025" EndTime="153.740" Participant="me011">
    <Segment StartTime="153.800" EndTime="157.137" Participant="me011">
    <Segment StartTime="157.335" EndTime="164.774" Participant="me011">
    <Segment StartTime="165.110" EndTime="168.277" Participant="me011">
    <Segment StartTime="168.521" EndTime="172.640" Participant="me011">
    <Segment StartTime="173.260" EndTime="178.347" Participant="me011">
    <Segment StartTime="175.753" EndTime="176.567" Participant="fe008">
    <Segment StartTime="176.567" EndTime="177.143" Participant="fe008">
    <Segment StartTime="178.640" EndTime="184.320" Participant="me011">
    <Segment StartTime="184.350" EndTime="189.060" Participant="me011">
    <Segment StartTime="189.090" EndTime="193.387" Participant="me011">
    <Segment StartTime="193.162" EndTime="193.820" Participant="me013">
    <Segment StartTime="193.954" EndTime="194.738" Participant="fe008">
    <Segment StartTime="194.270" EndTime="196.570" Participant="me013">
    <Segment StartTime="196.823" EndTime="201.830" Participant="me013">
    <Segment StartTime="201.637" EndTime="202.356" Participant="fe008">
    <Segment StartTime="202.280" EndTime="207.169" Participant="fe016">
    <Segment StartTime="204.677" EndTime="205.462" Participant="me011">
    <Segment StartTime="206.400" EndTime="207.630" Participant="me013">
    <Segment StartTime="208.120" EndTime="211.990" Participant="me013">
    <Segment StartTime="212.000" EndTime="214.920" Participant="me013">
    <Segment StartTime="214.950" EndTime="216.488" Participant="me013">
    <Segment StartTime="217.032" EndTime="220.460" Participant="me013">
    <Segment StartTime="221.427" EndTime="223.090" Participant="me013">
    <Segment StartTime="221.834" EndTime="222.383" Participant="mn014">
    <Segment StartTime="221.852" EndTime="224.550" Participant="fe016">
    <Segment StartTime="224.550" EndTime="226.890" Participant="me013">
    <Segment StartTime="225.394" EndTime="228.370" Participant="me018">
    <Segment StartTime="225.504" EndTime="226.116" Participant="fe016">
    <Segment StartTime="228.420" EndTime="231.030" Participant="me013">
    <Segment StartTime="229.990" EndTime="231.590" Participant="me011">
    <Segment StartTime="231.620" EndTime="235.120" Participant="me013">
    <Segment StartTime="237.117" EndTime="242.840" Participant="fe016">
    <Segment StartTime="242.971" EndTime="253.870" Participant="fe016">
    <Segment StartTime="243.439" EndTime="244.740" Participant="me013">
    <Segment StartTime="246.147" EndTime="246.711" Participant="me013">
    <Segment StartTime="252.380" EndTime="252.926" Participant="fe008">
    <Segment StartTime="253.925" EndTime="254.332" Participant="fe008">
    <Segment StartTime="253.970" EndTime="257.960" Participant="fe016">
    <Segment StartTime="255.400" EndTime="255.928" Participant="fe008">
    <Segment StartTime="258.020" EndTime="266.018" Participant="fe016">
    <Segment StartTime="263.690" EndTime="264.360" Participant="me011">
    <Segment StartTime="266.488" EndTime="272.411" Participant="fe016">
    <Segment StartTime="266.597" EndTime="267.003" Participant="me011">
    <Segment StartTime="271.514" EndTime="272.065" Participant="me013">
    <Segment StartTime="271.540" EndTime="274.250" Participant="me011">
    <Segment StartTime="275.030" EndTime="277.750" Participant="me011">
    <Segment StartTime="275.800" EndTime="282.917" Participant="fe016">
    <Segment StartTime="279.737" EndTime="280.390" Participant="fe008">
    <Segment StartTime="281.820" EndTime="283.550" Participant="me011">
    <Segment StartTime="283.740" EndTime="287.425" Participant="me013">
    <Segment StartTime="287.425" EndTime="292.082" Participant="me013">
    <Segment StartTime="292.082" EndTime="296.306" Participant="me013">
    <Segment StartTime="296.306" EndTime="299.835" Participant="me013">
    <Segment StartTime="299.760" EndTime="305.062" Participant="fe016">
    <Segment StartTime="301.915" EndTime="302.993" Participant="fe008">
    <Segment StartTime="302.079" EndTime="302.598" Participant="me013">
    <Segment StartTime="303.430" EndTime="305.450" Participant="me013">
    <Segment StartTime="305.410" EndTime="307.230" Participant="me011">
    <Segment StartTime="305.460" EndTime="309.026" Participant="me013">
    <Segment StartTime="309.026" EndTime="314.806" Participant="me013">
    <Segment StartTime="309.464" EndTime="310.222" Participant="fe016">
    <Segment StartTime="312.460" EndTime="320.400" Participant="fe016">
    <Segment StartTime="320.960" EndTime="323.679" Participant="fe016">
    <Segment StartTime="321.010" EndTime="321.358" Participant="fe008">
    <Segment StartTime="322.390" EndTime="325.695" Participant="me013">
    <Segment StartTime="325.280" EndTime="326.154" Participant="fe016">
    <Segment StartTime="325.951" EndTime="329.980" Participant="me013">
    <Segment StartTime="330.296" EndTime="333.890" Participant="me013">
    <Segment StartTime="331.654" EndTime="332.438" Participant="fe016">
    <Segment StartTime="334.280" EndTime="339.249" Participant="me013">
    <Segment StartTime="339.730" EndTime="340.348" Participant="fe016">
    <Segment StartTime="340.800" EndTime="348.150" Participant="fe016">
