  <Transcript StartTime="0.0" EndTime="5980.085">
    <Segment StartTime="0.000" EndTime="1.430" CloseMic="false">
    <Segment StartTime="0.000" EndTime="1.012" Participant="mn035">
    <Segment StartTime="3.644" EndTime="5.106" Participant="mn035">
    <Segment StartTime="6.690" EndTime="8.000" Participant="me011">
    <Segment StartTime="8.259" EndTime="9.365" Participant="mn082">
    <Segment StartTime="8.430" EndTime="9.685" Participant="me011">
    <Segment StartTime="9.685" EndTime="11.163" Participant="me011">
    <Segment StartTime="11.163" EndTime="12.517" Participant="me011">
    <Segment StartTime="12.517" EndTime="14.897" Participant="me011">
    <Segment StartTime="14.897" EndTime="17.010" Participant="me011">
    <Segment StartTime="17.440" EndTime="21.645" Participant="me011" DigitTask="true">
    <Segment StartTime="21.787" EndTime="22.880" Participant="me011" DigitTask="true">
    <Segment StartTime="23.032" EndTime="23.802" Participant="me011" DigitTask="true">
    <Segment StartTime="23.884" EndTime="24.758" Participant="me011" DigitTask="true">
    <Segment StartTime="24.806" EndTime="26.079" Participant="me011" DigitTask="true">
    <Segment StartTime="26.114" EndTime="27.349" Participant="me011" DigitTask="true">
    <Segment StartTime="27.349" EndTime="28.375" Participant="me011" DigitTask="true">
    <Segment StartTime="28.676" EndTime="30.418" Participant="me011" DigitTask="true">
    <Segment StartTime="30.725" EndTime="31.880" Participant="me011" DigitTask="true">
    <Segment StartTime="31.937" EndTime="32.614" Participant="me011" DigitTask="true">
    <Segment StartTime="32.731" EndTime="33.231" Participant="me011" DigitTask="true">
    <Segment StartTime="33.511" EndTime="35.556" Participant="me011" DigitTask="true">
    <Segment StartTime="35.814" EndTime="37.260" Participant="me011" DigitTask="true">
    <Segment StartTime="37.581" EndTime="38.336" Participant="me011" DigitTask="true">
    <Segment StartTime="38.427" EndTime="39.308" Participant="me011" DigitTask="true">
    <Segment StartTime="39.397" EndTime="40.005" Participant="me011" DigitTask="true">
    <Segment StartTime="40.125" EndTime="40.558" Participant="me011" DigitTask="true">
    <Segment StartTime="40.711" EndTime="41.149" Participant="me011" DigitTask="true">
    <Segment StartTime="41.381" EndTime="42.319" Participant="me011" DigitTask="true">
    <Segment StartTime="42.545" EndTime="43.914" Participant="me011" DigitTask="true">
    <Segment StartTime="44.104" EndTime="46.165" Participant="me011" DigitTask="true">
    <Segment StartTime="48.490" EndTime="50.100" Participant="me011">
    <Segment StartTime="51.372" EndTime="52.685" Participant="me011">
    <Segment StartTime="51.372" EndTime="52.685" Participant="fn083">
    <Segment StartTime="52.685" EndTime="52.931" Participant="me011">
    <Segment StartTime="53.074" EndTime="58.073" Participant="fn083" DigitTask="true">
    <Segment StartTime="58.972" EndTime="61.284" Participant="fn083" DigitTask="true">
    <Segment StartTime="61.548" EndTime="63.392" Participant="fn083" DigitTask="true">
    <Segment StartTime="62.736" EndTime="64.326" Participant="mn082">
    <Segment StartTime="63.392" EndTime="65.095" Participant="fn083" DigitTask="true">
    <Segment StartTime="65.665" EndTime="66.087" Participant="fn083" DigitTask="true">
    <Segment StartTime="66.087" EndTime="66.595" Participant="fn083" DigitTask="true">
    <Segment StartTime="66.595" EndTime="67.292" Participant="fn083" DigitTask="true">
    <Segment StartTime="67.292" EndTime="68.956" Participant="fn083" DigitTask="true">
    <Segment StartTime="68.956" EndTime="70.914" Participant="fn083" DigitTask="true">
    <Segment StartTime="71.038" EndTime="72.435" Participant="fn083" DigitTask="true">
    <Segment StartTime="72.463" EndTime="73.385" Participant="fn083" DigitTask="true">
    <Segment StartTime="73.385" EndTime="73.851" Participant="fn083" DigitTask="true">
    <Segment StartTime="73.994" EndTime="74.699" Participant="fn083" DigitTask="true">
    <Segment StartTime="74.699" EndTime="75.440" Participant="fn083" DigitTask="true">
    <Segment StartTime="75.440" EndTime="76.505" Participant="fn083" DigitTask="true">
    <Segment StartTime="76.755" EndTime="78.140" Participant="fn083" DigitTask="true">
    <Segment StartTime="78.417" EndTime="79.766" Participant="fn083" DigitTask="true">
    <Segment StartTime="79.766" EndTime="80.494" Participant="fn083" DigitTask="true">
    <Segment StartTime="80.494" EndTime="81.701" Participant="fn083" DigitTask="true">
    <Segment StartTime="81.787" EndTime="82.321" Participant="fn083" DigitTask="true">
    <Segment StartTime="82.321" EndTime="83.300" Participant="fn083" DigitTask="true">
    <Segment StartTime="85.132" EndTime="91.020" Participant="mn021" DigitTask="true">
    <Segment StartTime="91.020" EndTime="92.285" Participant="mn021" DigitTask="true">
    <Segment StartTime="92.332" EndTime="94.290" Participant="mn021" DigitTask="true">
    <Segment StartTime="94.505" EndTime="95.408" Participant="mn021" DigitTask="true">
    <Segment StartTime="95.475" EndTime="96.121" Participant="mn021" DigitTask="true">
    <Segment StartTime="96.188" EndTime="98.583" Participant="mn021" DigitTask="true">
    <Segment StartTime="98.994" EndTime="101.275" Participant="mn021" DigitTask="true">
    <Segment StartTime="101.684" EndTime="102.872" Participant="mn021" DigitTask="true">
    <Segment StartTime="103.159" EndTime="104.176" Participant="mn021" DigitTask="true">
    <Segment StartTime="104.481" EndTime="108.007" Participant="mn021" DigitTask="true">
    <Segment StartTime="108.083" EndTime="108.777" Participant="mn021" DigitTask="true">
