  <Transcript StartTime="0.0" EndTime="5222.894">
    <Segment StartTime="0.000" EndTime="0.876" Participant="me026">
    <Segment StartTime="0.278" EndTime="1.225" Participant="mn007">
    <Segment StartTime="0.931" EndTime="1.574" Participant="fn002">
    <Segment StartTime="0.931" EndTime="3.611" Participant="me034">
    <Segment StartTime="1.488" EndTime="2.122" Participant="me026">
    <Segment StartTime="1.586" EndTime="2.456" Participant="mn007">
    <Segment StartTime="1.856" EndTime="2.576" Participant="me018">
    <Segment StartTime="3.426" EndTime="4.987" Participant="mn007">
    <Segment StartTime="3.611" EndTime="5.851" Participant="me006">
    <Segment StartTime="3.635" EndTime="5.635" Participant="me018">
    <Segment StartTime="5.130" EndTime="6.718" Participant="me013">
    <Segment StartTime="5.566" EndTime="6.718" Participant="me034">
    <Segment StartTime="6.718" EndTime="7.380" Participant="me013">
    <Segment StartTime="7.901" EndTime="8.772" Participant="me013">
    <Segment StartTime="8.772" EndTime="9.542" Participant="me013">
    <Segment StartTime="10.179" EndTime="11.200" Participant="me013">
    <Segment StartTime="11.200" EndTime="14.813" Participant="me013">
    <Segment StartTime="14.169" EndTime="15.415" CloseMic="false">
    <Segment StartTime="14.813" EndTime="14.988" Participant="me013">
    <Segment StartTime="15.632" EndTime="16.119" Participant="me013">
    <Segment StartTime="16.119" EndTime="20.837" Participant="me013" DigitTask="true">
    <Segment StartTime="20.837" EndTime="22.061" Participant="me013" DigitTask="true">
    <Segment StartTime="22.679" EndTime="24.413" Participant="me013" DigitTask="true">
    <Segment StartTime="24.913" EndTime="27.426" Participant="me013" DigitTask="true">
    <Segment StartTime="27.916" EndTime="28.772" Participant="me013" DigitTask="true">
    <Segment StartTime="29.342" EndTime="29.988" Participant="me013" DigitTask="true">
    <Segment StartTime="30.569" EndTime="30.925" Participant="me013" DigitTask="true">
    <Segment StartTime="31.787" EndTime="34.287" Participant="me013" DigitTask="true">
    <Segment StartTime="34.876" EndTime="36.378" Participant="me013" DigitTask="true">
    <Segment StartTime="37.072" EndTime="38.787" Participant="me013" DigitTask="true">
    <Segment StartTime="39.458" EndTime="40.787" Participant="me013" DigitTask="true">
    <Segment StartTime="41.311" EndTime="43.773" Participant="me013" DigitTask="true">
    <Segment StartTime="44.216" EndTime="44.931" Participant="me013" DigitTask="true">
    <Segment StartTime="45.439" EndTime="47.509" Participant="me013" DigitTask="true">
    <Segment StartTime="47.813" EndTime="49.035" Participant="me013" DigitTask="true">
    <Segment StartTime="49.648" EndTime="50.784" Participant="me013" DigitTask="true">
    <Segment StartTime="51.292" EndTime="52.792" Participant="me013" DigitTask="true">
    <Segment StartTime="53.212" EndTime="54.908" Participant="me013" DigitTask="true">
    <Segment StartTime="55.427" EndTime="58.149" Participant="me013" DigitTask="true">
    <Segment StartTime="58.650" EndTime="59.239" Participant="me013" DigitTask="true">
    <Segment StartTime="59.752" EndTime="60.219" Participant="me013" DigitTask="true">
    <Segment StartTime="61.929" EndTime="67.889" Participant="me026" DigitTask="true">
    <Segment StartTime="67.889" EndTime="68.566" Participant="me026" DigitTask="true">
    <Segment StartTime="69.135" EndTime="69.723" Participant="me026" DigitTask="true">
    <Segment StartTime="70.361" EndTime="70.655" Participant="me026" DigitTask="true">
    <Segment StartTime="71.730" EndTime="73.545" Participant="me026" DigitTask="true">
    <Segment StartTime="74.410" EndTime="76.622" Participant="me026" DigitTask="true">
    <Segment StartTime="77.661" EndTime="78.574" Participant="me026" DigitTask="true">
    <Segment StartTime="79.905" EndTime="81.382" Participant="me026" DigitTask="true">
    <Segment StartTime="82.209" EndTime="82.956" Participant="me026" DigitTask="true">
    <Segment StartTime="83.031" EndTime="83.703" Participant="me026" DigitTask="true">
    <Segment StartTime="84.239" EndTime="84.890" Participant="me026" DigitTask="true">
    <Segment StartTime="85.085" EndTime="85.789" Participant="me026" DigitTask="true">
    <Segment StartTime="87.138" EndTime="88.823" Participant="me026" DigitTask="true">
    <Segment StartTime="89.638" EndTime="92.033" Participant="me026" DigitTask="true">
    <Segment StartTime="93.129" EndTime="95.498" Participant="me026" DigitTask="true">
    <Segment StartTime="96.720" EndTime="99.910" Participant="me026" DigitTask="true">
    <Segment StartTime="100.741" EndTime="101.501" Participant="me026" DigitTask="true">
    <Segment StartTime="102.053" EndTime="102.916" Participant="me026" DigitTask="true">
    <Segment StartTime="103.707" EndTime="105.424" Participant="me026" DigitTask="true">
    <Segment StartTime="106.692" EndTime="109.555" Participant="me026" DigitTask="true">
    <Segment StartTime="110.361" EndTime="112.148" Participant="me026" DigitTask="true">
    <Segment StartTime="114.556" EndTime="119.943" Participant="me018" DigitTask="true">
    <Segment StartTime="119.943" EndTime="121.323" Participant="me018" DigitTask="true">
    <Segment StartTime="122.348" EndTime="124.948" Participant="me018" DigitTask="true">
    <Segment StartTime="125.656" EndTime="126.129" Participant="me018" DigitTask="true">
    <Segment StartTime="126.986" EndTime="127.481" Participant="me018" DigitTask="true">
    <Segment StartTime="128.422" EndTime="131.112" Participant="me018" DigitTask="true">
    <Segment StartTime="132.338" EndTime="133.241" Participant="me018" DigitTask="true">
    <Segment StartTime="134.591" EndTime="136.254" Participant="me018" DigitTask="true">
    <Segment StartTime="137.367" EndTime="139.961" Participant="me018" DigitTask="true">
    <Segment StartTime="140.903" EndTime="142.110" Participant="me018" DigitTask="true">
    <Segment StartTime="143.051" EndTime="143.498" Participant="me018" DigitTask="true">
    <Segment StartTime="144.201" EndTime="144.656" Participant="me018" DigitTask="true">
    <Segment StartTime="145.789" EndTime="148.089" Participant="me018" DigitTask="true">
    <Segment StartTime="149.648" EndTime="151.485" Participant="me018" DigitTask="true">
    <Segment StartTime="152.528" EndTime="154.781" Participant="me018" DigitTask="true">
    <Segment StartTime="156.178" EndTime="159.068" Participant="me018" DigitTask="true">
    <Segment StartTime="160.247" EndTime="161.711" Participant="me018" DigitTask="true">
    <Segment StartTime="162.880" EndTime="163.708" Participant="me018" DigitTask="true">
    <Segment StartTime="164.429" EndTime="164.952" Participant="me018" DigitTask="true">
    <Segment StartTime="166.625" EndTime="169.011" Participant="me018" DigitTask="true">
    <Segment StartTime="169.848" EndTime="170.882" Participant="me018" DigitTask="true">
    <Segment StartTime="172.824" EndTime="178.165" Participant="me034" DigitTask="true">
    <Segment StartTime="178.165" EndTime="179.800" Participant="me034" DigitTask="true">
    <Segment StartTime="180.294" EndTime="182.018" Participant="me034" DigitTask="true">
    <Segment StartTime="182.357" EndTime="184.592" Participant="me034" DigitTask="true">
    <Segment StartTime="184.848" EndTime="185.603" Participant="me034" DigitTask="true">
    <Segment StartTime="185.903" EndTime="186.625" Participant="me034" DigitTask="true">
    <Segment StartTime="187.300" EndTime="188.210" Participant="me034" DigitTask="true">
    <Segment StartTime="188.574" EndTime="189.325" Participant="me034" DigitTask="true">
    <Segment StartTime="190.019" EndTime="191.150" Participant="me034" DigitTask="true">
    <Segment StartTime="192.300" EndTime="194.173" Participant="me034" DigitTask="true">
    <Segment StartTime="195.732" EndTime="198.640" Participant="me034" DigitTask="true">
    <Segment StartTime="199.163" EndTime="199.695" Participant="me034" DigitTask="true">
    <Segment StartTime="199.810" EndTime="200.437" Participant="me034" DigitTask="true">
    <Segment StartTime="200.912" EndTime="202.528" Participant="me034" DigitTask="true">
    <Segment StartTime="203.251" EndTime="204.659" Participant="me034" DigitTask="true">
    <Segment StartTime="205.104" EndTime="206.817" Participant="me034" DigitTask="true">
    <Segment StartTime="207.500" EndTime="209.562" Participant="me034" DigitTask="true">
    <Segment StartTime="209.781" EndTime="210.608" Participant="me034" DigitTask="true">
    <Segment StartTime="211.245" EndTime="211.734" Participant="me034" DigitTask="true">
    <Segment StartTime="212.100" EndTime="213.518" Participant="me034" DigitTask="true">
    <Segment StartTime="213.612" EndTime="214.002" Participant="me034" DigitTask="true">
    <Segment StartTime="214.952" EndTime="221.521" Participant="fn002" DigitTask="true">
    <Segment StartTime="221.521" EndTime="223.828" Participant="fn002" DigitTask="true">
    <Segment StartTime="224.211" EndTime="225.921" Participant="fn002" DigitTask="true">
    <Segment StartTime="226.273" EndTime="227.093" Participant="fn002" DigitTask="true">
    <Segment StartTime="227.386" EndTime="229.941" Participant="fn002" DigitTask="true">
    <Segment StartTime="230.446" EndTime="230.865" Participant="fn002" DigitTask="true">
    <Segment StartTime="231.302" EndTime="232.737" Participant="fn002" DigitTask="true">
    <Segment StartTime="233.041" EndTime="233.678" Participant="fn002" DigitTask="true">
    <Segment StartTime="234.078" EndTime="236.796" Participant="fn002" DigitTask="true">
    <Segment StartTime="237.186" EndTime="241.178" Participant="fn002" DigitTask="true">
    <Segment StartTime="241.777" EndTime="244.134" Participant="fn002" DigitTask="true">
    <Segment StartTime="244.743" EndTime="245.355" Participant="fn002" DigitTask="true">
    <Segment StartTime="245.656" EndTime="247.789" Participant="fn002" DigitTask="true">
    <Segment StartTime="248.232" EndTime="248.669" Participant="fn002" DigitTask="true">
    <Segment StartTime="248.954" EndTime="250.203" Participant="fn002" DigitTask="true">
    <Segment StartTime="250.751" EndTime="252.130" Participant="fn002" DigitTask="true">
    <Segment StartTime="252.490" EndTime="254.899" Participant="fn002" DigitTask="true">
    <Segment StartTime="255.399" EndTime="256.987" Participant="fn002" DigitTask="true">
    <Segment StartTime="257.214" EndTime="260.732" Participant="fn002" DigitTask="true">
    <Segment StartTime="261.483" EndTime="265.336" Participant="fn002" DigitTask="true">
    <Segment StartTime="265.703" EndTime="266.295" Participant="fn002" DigitTask="true">
    <Segment StartTime="267.520" EndTime="270.952" Participant="me006">
    <Segment StartTime="270.952" EndTime="275.503" Participant="me006" DigitTask="true">
    <Segment StartTime="275.503" EndTime="276.131" Participant="me006" DigitTask="true">
    <Segment StartTime="276.606" EndTime="279.844" Participant="me006" DigitTask="true">
    <Segment StartTime="280.370" EndTime="282.979" Participant="me006" DigitTask="true">
    <Segment StartTime="283.355" EndTime="285.713" Participant="me006" DigitTask="true">
    <Segment StartTime="286.273" EndTime="288.602" Participant="me006" DigitTask="true">
    <Segment StartTime="288.984" EndTime="292.122" Participant="me006" DigitTask="true">
    <Segment StartTime="292.621" EndTime="293.317" Participant="me006" DigitTask="true">
    <Segment StartTime="293.754" EndTime="294.409" Participant="me006" DigitTask="true">
    <Segment StartTime="295.057" EndTime="296.727" Participant="me006" DigitTask="true">
    <Segment StartTime="297.278" EndTime="299.677" Participant="me006" DigitTask="true">
    <Segment StartTime="300.266" EndTime="301.780" Participant="me006" DigitTask="true">
    <Segment StartTime="301.996" EndTime="302.698" Participant="me006" DigitTask="true">
    <Segment StartTime="303.070" EndTime="305.234" Participant="me006" DigitTask="true">
    <Segment StartTime="305.513" EndTime="306.099" Participant="me006" DigitTask="true">
    <Segment StartTime="306.521" EndTime="307.339" Participant="me006" DigitTask="true">
    <Segment StartTime="307.975" EndTime="309.514" Participant="me006" DigitTask="true">
    <Segment StartTime="310.009" EndTime="313.013" Participant="me006" DigitTask="true">
    <Segment StartTime="313.536" EndTime="314.652" Participant="me006" DigitTask="true">
    <Segment StartTime="314.924" EndTime="316.837" Participant="me006" DigitTask="true">
    <Segment StartTime="317.436" EndTime="318.397" Participant="me006" DigitTask="true">
    <Segment StartTime="319.239" EndTime="322.460" Participant="mn007" DigitTask="true">
    <Segment StartTime="322.880" EndTime="323.694" Participant="mn007" DigitTask="true">
    <Segment StartTime="323.878" EndTime="324.657" Participant="mn007" DigitTask="true">
    <Segment StartTime="324.838" EndTime="326.327" Participant="mn007" DigitTask="true">
    <Segment StartTime="326.649" EndTime="328.251" Participant="mn007" DigitTask="true">
    <Segment StartTime="329.116" EndTime="330.297" Participant="mn007" DigitTask="true">
    <Segment StartTime="330.694" EndTime="331.834" Participant="mn007" DigitTask="true">
    <Segment StartTime="332.433" EndTime="333.329" Participant="mn007" DigitTask="true">
    <Segment StartTime="333.669" EndTime="334.103" Participant="mn007" DigitTask="true">
    <Segment StartTime="334.363" EndTime="336.920" Participant="mn007" DigitTask="true">
    <Segment StartTime="337.794" EndTime="338.431" Participant="mn007" DigitTask="true">
    <Segment StartTime="338.878" EndTime="339.805" Participant="mn007" DigitTask="true">
    <Segment StartTime="340.446" EndTime="342.718" Participant="mn007" DigitTask="true">
    <Segment StartTime="343.374" EndTime="344.446" Participant="mn007" DigitTask="true">
    <Segment StartTime="344.707" EndTime="345.365" Participant="mn007" DigitTask="true">
    <Segment StartTime="345.822" EndTime="347.662" Participant="mn007" DigitTask="true">
    <Segment StartTime="348.013" EndTime="348.578" Participant="mn007" DigitTask="true">
    <Segment StartTime="349.049" EndTime="350.152" Participant="mn007" DigitTask="true">
    <Segment StartTime="350.760" EndTime="352.300" Participant="mn007" DigitTask="true">
    <Segment StartTime="352.908" EndTime="354.052" Participant="mn007" DigitTask="true">
    <Segment StartTime="354.344" EndTime="355.979" Participant="mn007" DigitTask="true">
    <Segment StartTime="357.980" EndTime="358.398" Participant="me013">
    <Segment StartTime="358.398" EndTime="360.829" Participant="me013">
    <Segment StartTime="360.829" EndTime="362.097" Participant="me013">
    <Segment StartTime="362.353" EndTime="362.838" Participant="me006">
    <Segment StartTime="362.353" EndTime="364.077" Participant="me013">
    <Segment StartTime="364.077" EndTime="364.881" Participant="me006">
    <Segment StartTime="364.077" EndTime="366.663" Participant="me013">
    <Segment StartTime="364.881" EndTime="366.663" Participant="me006">
    <Segment StartTime="366.663" EndTime="367.017" Participant="me013">
    <Segment StartTime="367.162" EndTime="368.485" Participant="me006">
    <Segment StartTime="367.482" EndTime="372.933" Participant="me013">
    <Segment StartTime="372.933" EndTime="375.692" Participant="me006">
    <Segment StartTime="372.933" EndTime="375.692" Participant="me013">
    <Segment StartTime="373.248" EndTime="374.354" Participant="me034">
    <Segment StartTime="373.340" EndTime="374.403" Participant="me018">
    <Segment StartTime="373.372" EndTime="375.380" Participant="mn007">
    <Segment StartTime="374.039" EndTime="374.984" Participant="fn002">
    <Segment StartTime="375.692" EndTime="376.670" Participant="me013">
    <Segment StartTime="375.692" EndTime="376.317" Participant="me034">
    <Segment StartTime="376.087" EndTime="376.498" Participant="me006">
    <Segment StartTime="377.193" EndTime="382.898" Participant="me013">
    <Segment StartTime="382.898" EndTime="385.904" Participant="me013">
    <Segment StartTime="386.158" EndTime="386.645" Participant="me013">
    <Segment StartTime="387.425" EndTime="390.257" Participant="me013">
    <Segment StartTime="390.257" EndTime="391.829" Participant="me013">
    <Segment StartTime="391.829" EndTime="393.860" Participant="me013">
    <Segment StartTime="394.389" EndTime="395.309" Participant="me013">
    <Segment StartTime="396.093" EndTime="397.620" Participant="me013">
    <Segment StartTime="397.940" EndTime="399.103" Participant="me013">
    <Segment StartTime="399.103" EndTime="399.930" Participant="me013">
    <Segment StartTime="399.930" EndTime="401.560" Participant="me013">
    <Segment StartTime="402.180" EndTime="404.689" Participant="me013">
    <Segment StartTime="404.689" EndTime="406.070" Participant="me013">
    <Segment StartTime="406.053" EndTime="407.484" Participant="me006">
    <Segment StartTime="406.070" EndTime="406.950" Participant="me013">
    <Segment StartTime="407.484" EndTime="408.054" Participant="me006">
    <Segment StartTime="408.750" EndTime="412.163" Participant="me013">
    <Segment StartTime="412.163" EndTime="415.346" Participant="me013">
    <Segment StartTime="415.396" EndTime="416.356" Participant="me013">
    <Segment StartTime="416.840" EndTime="417.240" Participant="me013">
    <Segment StartTime="417.799" EndTime="418.681" Participant="me013">
    <Segment StartTime="418.681" EndTime="421.260" Participant="me013">
    <Segment StartTime="421.640" EndTime="422.035" Participant="me013">
    <Segment StartTime="422.170" EndTime="424.832" Participant="me013">
    <Segment StartTime="425.341" EndTime="428.364" Participant="me013">
    <Segment StartTime="428.364" EndTime="430.020" Participant="me013">
    <Segment StartTime="430.020" EndTime="432.120" Participant="me013">
    <Segment StartTime="432.120" EndTime="434.458" Participant="me013">
    <Segment StartTime="434.981" EndTime="436.524" Participant="me018">
    <Segment StartTime="436.411" EndTime="438.532" Participant="me013">
    <Segment StartTime="438.532" EndTime="441.413" Participant="me013">
    <Segment StartTime="441.413" EndTime="442.512" Participant="me013">
    <Segment StartTime="442.554" EndTime="443.690" Participant="me013">
    <Segment StartTime="444.878" EndTime="447.241" Participant="me013">
    <Segment StartTime="447.241" EndTime="449.911" Participant="me013">
    <Segment StartTime="449.911" EndTime="452.231" Participant="me013">
    <Segment StartTime="452.231" EndTime="453.298" Participant="me013">
    <Segment StartTime="453.298" EndTime="455.440" Participant="me013">
    <Segment StartTime="455.440" EndTime="457.011" Participant="me013">
    <Segment StartTime="457.689" EndTime="458.462" Participant="me013">
    <Segment StartTime="459.093" EndTime="462.522" Participant="me026">
    <Segment StartTime="463.525" EndTime="464.211" Participant="me013">
    <Segment StartTime="465.659" EndTime="467.901" Participant="me013">
    <Segment StartTime="467.344" EndTime="467.849" Participant="me018">
    <Segment StartTime="468.261" EndTime="469.190" Participant="me026">
    <Segment StartTime="469.554" EndTime="470.281" Participant="me018">
    <Segment StartTime="470.649" EndTime="471.086" Participant="me013">
    <Segment StartTime="470.662" EndTime="471.141" Participant="me018">
    <Segment StartTime="471.037" EndTime="471.769" Participant="me026">
    <Segment StartTime="471.086" EndTime="471.669" Participant="me013">
    <Segment StartTime="472.073" EndTime="472.782" Participant="me013">
    <Segment StartTime="472.168" EndTime="472.568" Participant="me026">
    <Segment StartTime="472.782" EndTime="473.466" Participant="me013">
    <Segment StartTime="473.466" EndTime="474.758" Participant="me013">
    <Segment StartTime="474.618" EndTime="476.230" Participant="me026">
    <Segment StartTime="474.758" EndTime="475.948" Participant="me013">
    <Segment StartTime="475.948" EndTime="476.643" Participant="me013">
    <Segment StartTime="476.643" EndTime="477.998" Participant="me013">
    <Segment StartTime="477.998" EndTime="482.200" Participant="me013">
    <Segment StartTime="482.200" EndTime="483.907" Participant="me013">
    <Segment StartTime="483.907" EndTime="486.066" Participant="me013">
    <Segment StartTime="486.066" EndTime="488.617" Participant="me013">
    <Segment StartTime="488.617" EndTime="493.678" Participant="me013">
