  <Transcript StartTime="0.0" EndTime="4207.686">
    <Segment StartTime="0.000" EndTime="0.423" Participant="me018">
    <Segment StartTime="0.388" EndTime="7.752" CloseMic="false">
    <Segment StartTime="0.405" EndTime="2.040" Participant="me013">
    <Segment StartTime="0.567" EndTime="1.822" Participant="me034">
    <Segment StartTime="2.470" EndTime="3.560" Participant="me018">
    <Segment StartTime="2.834" EndTime="4.107" Participant="me013">
    <Segment StartTime="4.130" EndTime="4.850" Participant="fn002">
    <Segment StartTime="4.211" EndTime="6.885" Participant="me034">
    <Segment StartTime="4.251" EndTime="6.702" Participant="me006">
    <Segment StartTime="4.292" EndTime="5.616" Participant="me013">
    <Segment StartTime="5.501" EndTime="6.712" Participant="me018">
    <Segment StartTime="7.128" EndTime="7.963" Participant="me034">
    <Segment StartTime="7.156" EndTime="10.444" Participant="me013">
    <Segment StartTime="7.752" EndTime="8.786" CloseMic="false">
    <Segment StartTime="9.182" EndTime="10.450" Participant="fn002">
    <Segment StartTime="9.433" EndTime="14.106" Participant="me006">
    <Segment StartTime="9.461" EndTime="12.050" Participant="me034">
    <Segment StartTime="17.777" EndTime="18.329" CloseMic="false">
    <Segment StartTime="20.260" EndTime="21.328" Participant="me006">
    <Segment StartTime="21.854" EndTime="22.640" Participant="me006">
    <Segment StartTime="22.336" EndTime="24.175" Participant="me013">
    <Segment StartTime="23.514" EndTime="27.001" Participant="me006">
    <Segment StartTime="23.914" EndTime="30.514" Participant="me034">
    <Segment StartTime="24.175" EndTime="24.560" Participant="me013">
    <Segment StartTime="34.314" EndTime="35.378" Participant="me013">
    <Segment StartTime="36.662" EndTime="39.943" Participant="me013">
    <Segment StartTime="39.943" EndTime="42.906" Participant="me013">
    <Segment StartTime="42.906" EndTime="44.836" Participant="me013">
    <Segment StartTime="44.737" EndTime="48.010" Participant="mn007">
    <Segment StartTime="47.317" EndTime="48.994" Participant="fn002">
    <Segment StartTime="47.599" EndTime="48.748" Participant="me034">
    <Segment StartTime="48.994" EndTime="50.111" Participant="fn002">
    <Segment StartTime="49.760" EndTime="50.900" Participant="me034">
    <Segment StartTime="50.018" EndTime="52.091" Participant="me013">
    <Segment StartTime="51.657" EndTime="52.886" Participant="me006">
    <Segment StartTime="52.091" EndTime="52.880" Participant="me013">
    <Segment StartTime="53.007" EndTime="53.731" Participant="me006">
    <Segment StartTime="53.552" EndTime="54.223" Participant="fn002">
    <Segment StartTime="53.964" EndTime="55.591" Participant="me018">
    <Segment StartTime="54.204" EndTime="57.445" Participant="mn007">
    <Segment StartTime="54.546" EndTime="59.961" Participant="me006">
    <Segment StartTime="57.059" EndTime="58.861" Participant="me013">
    <Segment StartTime="57.700" EndTime="60.278" Participant="fn002">
    <Segment StartTime="59.674" EndTime="60.324" Participant="me013">
    <Segment StartTime="59.974" EndTime="60.968" Participant="me018">
    <Segment StartTime="60.324" EndTime="61.712" Participant="me013">
    <Segment StartTime="60.880" EndTime="62.069" Participant="fn002">
    <Segment StartTime="61.712" EndTime="62.677" Participant="me013">
    <Segment StartTime="62.795" EndTime="64.034" Participant="fn002">
    <Segment StartTime="65.956" EndTime="68.067" Participant="fn002">
    <Segment StartTime="66.321" EndTime="66.912" Participant="me013">
    <Segment StartTime="66.912" EndTime="70.797" Participant="me013">
    <Segment StartTime="67.823" EndTime="69.272" Participant="me034">
    <Segment StartTime="70.374" EndTime="71.713" Participant="me034">
    <Segment StartTime="71.509" EndTime="74.378" Participant="me013">
    <Segment StartTime="72.784" EndTime="73.563" Participant="fn002">
    <Segment StartTime="75.439" EndTime="76.483" Participant="fn002">
    <Segment StartTime="76.254" EndTime="78.516" Participant="me013">
    <Segment StartTime="78.516" EndTime="84.316" Participant="me013">
    <Segment StartTime="84.316" EndTime="87.894" Participant="me013">
    <Segment StartTime="87.894" EndTime="90.995" Participant="me013">
    <Segment StartTime="90.995" EndTime="93.326" Participant="me013">
    <Segment StartTime="93.326" EndTime="95.599" Participant="me013">
    <Segment StartTime="95.581" EndTime="105.042" Participant="mn007">
    <Segment StartTime="107.511" EndTime="119.333" Participant="mn007">
    <Segment StartTime="108.418" EndTime="109.843" Participant="me013">
    <Segment StartTime="119.700" EndTime="121.794" Participant="fn002">
    <Segment StartTime="120.884" EndTime="121.549" Participant="me013">
    <Segment StartTime="122.002" EndTime="126.982" Participant="mn007">
    <Segment StartTime="129.518" EndTime="148.537" Participant="mn007">
    <Segment StartTime="149.875" EndTime="168.215" Participant="mn007">
    <Segment StartTime="169.855" EndTime="172.772" Participant="me006">
    <Segment StartTime="169.895" EndTime="171.068" Participant="me034">
    <Segment StartTime="171.202" EndTime="172.312" Participant="fn002">
    <Segment StartTime="171.845" EndTime="172.324" Participant="me013">
    <Segment StartTime="172.243" EndTime="173.573" Participant="me011" CloseMic="false">
