  <Transcript StartTime="0.0" EndTime="3978.48">
    <Segment StartTime="0.458" EndTime="3.057" Participant="fe067">
    <Segment StartTime="0.539" EndTime="1.560" Participant="me011" CloseMic="false">
    <Segment StartTime="1.290" EndTime="1.866" Participant="fe008">
    <Segment StartTime="1.560" EndTime="1.851" CloseMic="false">
    <Segment StartTime="2.639" EndTime="3.900" Participant="me011" CloseMic="false">
    <Segment StartTime="3.824" EndTime="6.340" Participant="fe008">
    <Segment StartTime="4.147" EndTime="4.614" CloseMic="false">
    <Segment StartTime="5.735" EndTime="6.842" CloseMic="false">
    <Segment StartTime="7.390" EndTime="8.180" Participant="fe008">
    <Segment StartTime="9.613" EndTime="11.249" Participant="fe008">
    <Segment StartTime="9.720" EndTime="10.970" CloseMic="false">
    <Segment StartTime="9.990" EndTime="10.450" Participant="fe067">
    <Segment StartTime="13.355" EndTime="15.499" CloseMic="false">
    <Segment StartTime="15.804" EndTime="20.258" Participant="fe008">
    <Segment StartTime="16.156" EndTime="17.166" CloseMic="false">
    <Segment StartTime="18.307" EndTime="20.084" CloseMic="false">
    <Segment StartTime="19.040" EndTime="19.500" Participant="fe067">
    <Segment StartTime="20.180" EndTime="21.017" Participant="me011" CloseMic="false">
    <Segment StartTime="21.026" EndTime="22.725" CloseMic="false">
    <Segment StartTime="21.478" EndTime="22.000" Participant="fe067">
    <Segment StartTime="22.060" EndTime="24.141" Participant="fe008">
    <Segment StartTime="24.630" EndTime="27.510" Participant="fe008">
    <Segment StartTime="26.304" EndTime="28.852" Participant="me011" CloseMic="false">
    <Segment StartTime="28.414" EndTime="31.102" Participant="fe008">
    <Segment StartTime="28.487" EndTime="31.100" Participant="fe066">
    <Segment StartTime="30.400" EndTime="32.139" Participant="fe067">
    <Segment StartTime="31.056" EndTime="33.414" Participant="fe068">
    <Segment StartTime="31.341" EndTime="32.362" Participant="fe066">
    <Segment StartTime="34.950" EndTime="38.565" CloseMic="false">
    <Segment StartTime="35.711" EndTime="36.457" Participant="fe008">
    <Segment StartTime="35.792" EndTime="36.401" Participant="fe067">
    <Segment StartTime="37.030" EndTime="40.315" Participant="fe008">
    <Segment StartTime="39.223" EndTime="40.458" CloseMic="false">
    <Segment StartTime="40.570" EndTime="41.940" Participant="fe008">
    <Segment StartTime="42.912" EndTime="43.797" Participant="fe008">
    <Segment StartTime="44.043" EndTime="46.628" Participant="fe008">
    <Segment StartTime="47.264" EndTime="53.254" Participant="fe008">
    <Segment StartTime="50.957" EndTime="55.828" CloseMic="false">
    <Segment StartTime="53.680" EndTime="59.545" Participant="fe008">
    <Segment StartTime="55.800" EndTime="56.360" Participant="fe066">
    <Segment StartTime="57.593" EndTime="58.501" CloseMic="false">
    <Segment StartTime="59.060" EndTime="59.440" Participant="fe067">
    <Segment StartTime="59.980" EndTime="60.705" Participant="fe008">
    <Segment StartTime="60.375" EndTime="63.136" CloseMic="false">
    <Segment StartTime="60.956" EndTime="61.472" Participant="fe068">
    <Segment StartTime="61.244" EndTime="68.589" Participant="fe008">
    <Segment StartTime="69.241" EndTime="71.956" Participant="fe008">
    <Segment StartTime="72.210" EndTime="73.220" Participant="fe008">
    <Segment StartTime="73.768" EndTime="75.077" Participant="fe008">
    <Segment StartTime="75.360" EndTime="78.998" Participant="fe008">
